Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Pediococcus acidilactici strain L14-B","1254.151","SCIH01000021","fig|1254.151.peg.708","EQ837_08925",,"PATRIC.1254.151.SCIH01000021.CDS.1.422.fwd","PATRIC","CDS",1,422,422,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain SRCM103387","1254.152","CP035155","fig|1254.152.peg.2028","EQJ95_10130",,"PATRIC.1254.152.CP035155.CDS.26959.27246.rev","PATRIC","CDS",26959,27246,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain SRCM103367","1254.153","CP035153","fig|1254.153.peg.1963","EQJ92_09685",,"PATRIC.1254.153.CP035153.CDS.37507.37818.rev","PATRIC","CDS",37507,37818,312,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM13875","1254.192","WHSF01000002","fig|1254.192.peg.87","GBP49_00390",,"PATRIC.1254.192.WHSF01000002.CDS.40488.40775.rev","PATRIC","CDS",40488,40775,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19138","1254.198","WEMH01000019","fig|1254.198.peg.2071","GBO59_10170",,"PATRIC.1254.198.WEMH01000019.CDS.125.412.fwd","PATRIC","CDS",125,412,288,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19152","1254.204","WEMF01000016","fig|1254.204.peg.2079","GBO57_10170",,"PATRIC.1254.204.WEMF01000016.CDS.1211.1498.rev","PATRIC","CDS",1211,1498,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19140","1254.207","WELY01000018","fig|1254.207.peg.2067","GBO48_10160",,"PATRIC.1254.207.WELY01000018.CDS.125.412.fwd","PATRIC","CDS",125,412,288,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19134","1254.210","WELW01000017","fig|1254.210.peg.2073","GBO46_10160",,"PATRIC.1254.210.WELW01000017.CDS.125.412.fwd","PATRIC","CDS",125,412,288,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM18098","1254.214","WELT01000001","fig|1254.214.peg.69","GBO44_00320",,"PATRIC.1254.214.WELT01000001.CDS.52943.53230.rev","PATRIC","CDS",52943,53230,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19139","1254.215","WELR01000017","fig|1254.215.peg.2064","GBO42_10150",,"PATRIC.1254.215.WELR01000017.CDS.1212.1499.fwd","PATRIC","CDS",1212,1499,288,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM17419c4","1254.219","WELM01000013","fig|1254.219.peg.1705","GBO38_08370",,"PATRIC.1254.219.WELM01000013.CDS.35062.35349.rev","PATRIC","CDS",35062,35349,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM17422","1254.222","WEPR01000016","fig|1254.222.peg.1784","GBP51_08735",,"PATRIC.1254.222.WEPR01000016.CDS.19638.19925.rev","PATRIC","CDS",19638,19925,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19142","1254.224","WEPP01000018","fig|1254.224.peg.2071","GBP48_10170",,"PATRIC.1254.224.WEPP01000018.CDS.125.412.fwd","PATRIC","CDS",125,412,288,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19324","1254.225","WEPO01000002","fig|1254.225.peg.310","GBP47_01475",,"PATRIC.1254.225.WEPO01000002.CDS.938.1225.rev","PATRIC","CDS",938,1225,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19141","1254.226","WEPM01000019","fig|1254.226.peg.2067","GBP44_10170",,"PATRIC.1254.226.WEPM01000019.CDS.125.412.fwd","PATRIC","CDS",125,412,288,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM22259","1254.230","WEPJ01000016","fig|1254.230.peg.2044","GBP41_09990",,"PATRIC.1254.230.WEPJ01000016.CDS.1212.1499.fwd","PATRIC","CDS",1212,1499,288,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19156","1254.235","WEPD01000013","fig|1254.235.peg.1913","GBP35_09440",,"PATRIC.1254.235.WEPD01000013.CDS.5416.5703.rev","PATRIC","CDS",5416,5703,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM17419c1","1254.239","WEOY01000023","fig|1254.239.peg.1801","GBP30_08810",,"PATRIC.1254.239.WEOY01000023.CDS.19666.19953.rev","PATRIC","CDS",19666,19953,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM13877","1254.248","WEOO01000008","fig|1254.248.peg.1723","GBP20_08535",,"PATRIC.1254.248.WEOO01000008.CDS.54140.54427.fwd","PATRIC","CDS",54140,54427,288,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19150","1254.251","WEOL01000018","fig|1254.251.peg.2079","GBP17_10175",,"PATRIC.1254.251.WEOL01000018.CDS.1646.1933.rev","PATRIC","CDS",1646,1933,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM17411","1254.255","WEOG01000015","fig|1254.255.peg.1788","GBP12_08750",,"PATRIC.1254.255.WEOG01000015.CDS.19638.19925.rev","PATRIC","CDS",19638,19925,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19151","1254.262","WENW01000021","fig|1254.262.peg.2076","GBP01_10185",,"PATRIC.1254.262.WENW01000021.CDS.1211.1498.rev","PATRIC","CDS",1211,1498,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19180","1254.265","WENU01000017","fig|1254.265.peg.1827","GBO99_08955",,"PATRIC.1254.265.WENU01000017.CDS.19666.19953.rev","PATRIC","CDS",19666,19953,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19149","1254.280","WEND01000019","fig|1254.280.peg.2077","GBO81_10185",,"PATRIC.1254.280.WEND01000019.CDS.1646.1933.rev","PATRIC","CDS",1646,1933,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM13881","1254.282","WEMZ01000008","fig|1254.282.peg.1037","GBO77_04940",,"PATRIC.1254.282.WEMZ01000008.CDS.976.1371.fwd","PATRIC","CDS",976,1371,396,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19148","1254.284","WEMY01000019","fig|1254.284.peg.2072","GBO76_10165",,"PATRIC.1254.284.WEMY01000019.CDS.1114.1401.rev","PATRIC","CDS",1114,1401,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19136","1254.285","WEMX01000018","fig|1254.285.peg.2070","GBO75_10170",,"PATRIC.1254.285.WEMX01000018.CDS.125.412.fwd","PATRIC","CDS",125,412,288,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19137","1254.287","WEMV01000018","fig|1254.287.peg.2072","GBO73_10165",,"PATRIC.1254.287.WEMV01000018.CDS.125.412.fwd","PATRIC","CDS",125,412,288,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM17420c2","1254.288","WEMU01000016","fig|1254.288.peg.1860","GBO72_09065",,"PATRIC.1254.288.WEMU01000016.CDS.19666.19953.rev","PATRIC","CDS",19666,19953,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19135","1254.289","WEMT01000018","fig|1254.289.peg.2072","GBO71_10165",,"PATRIC.1254.289.WEMT01000018.CDS.1158.1445.rev","PATRIC","CDS",1158,1445,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM19133","1254.290","WEMS01000017","fig|1254.290.peg.2068","GBO70_10165",,"PATRIC.1254.290.WEMS01000017.CDS.1212.1499.fwd","PATRIC","CDS",1212,1499,288,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain FAM17418","1254.291","WEMQ01000015","fig|1254.291.peg.1785","GBO68_08735",,"PATRIC.1254.291.WEMQ01000015.CDS.19638.19925.rev","PATRIC","CDS",19638,19925,288,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain F7","1254.310","SDQV01000009","fig|1254.310.peg.1792","EUZ31_08805",,"PATRIC.1254.310.SDQV01000009.CDS.525.836.fwd","PATRIC","CDS",525,836,312,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain C6","1254.416","JAFEMJ010000018","fig|1254.416.peg.2044","JTE93_10015",,"PATRIC.1254.416.JAFEMJ010000018.CDS.54275.54562.fwd","PATRIC","CDS",54275,54562,288,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain C3","1254.417","JAFEMI010000019","fig|1254.417.peg.2123","JTE96_10390",,"PATRIC.1254.417.JAFEMI010000019.CDS.54275.54562.fwd","PATRIC","CDS",54275,54562,288,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici strain R91","1254.461","VCYC01000009","fig|1254.461.peg.1912","FG876_09320",,"PATRIC.1254.461.VCYC01000009.CDS.35484.36044.fwd","PATRIC","CDS",35484,36044,561,"+",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici ST31BZ","1254.558","JAHDAT010000017","fig|1254.558.peg.25","KJR25_09250",,"PATRIC.1254.558.JAHDAT010000017.CDS.553.1113.rev","PATRIC","CDS",553,1113,561,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici ST31BZ","1254.558","JAHDAT010000020","fig|1254.558.peg.79","KJR25_09500",,"PATRIC.1254.558.JAHDAT010000020.CDS.38922.39482.rev","PATRIC","CDS",38922,39482,561,"-",,,,,,,"SLATT domain-containing protein",
"Pediococcus acidilactici BB2-4M","1254.620","CP096572","fig|1254.620.peg.2059","M1B70_10130",,"PATRIC.1254.620.CP096572.CDS.4079.4378.rev","PATRIC","CDS",4079,4378,300,"-",,"PLF_1253_00003778","PGF_02754481",,99,,"SLATT domain-containing protein",
"Pediococcus acidilactici FAM 26181","1254.650","JALGCS010000017","fig|1254.650.peg.68","MNY53_08740",,"PATRIC.1254.650.JALGCS010000017.CDS.24261.24560.rev","PATRIC","CDS",24261,24560,300,"-",,"PLF_1253_00003778","PGF_02754481",,99,,"SLATT domain-containing protein",
"Pediococcus acidilactici FAM 26298","1254.651","JALGCR010000016","fig|1254.651.peg.39","MNY42_08605",,"PATRIC.1254.651.JALGCR010000016.CDS.113.412.fwd","PATRIC","CDS",113,412,300,"+",,"PLF_1253_00003778","PGF_02754481",,99,,"SLATT domain-containing protein",
"Pediococcus acidilactici 1001287st1_B2_1001287B_170213","1254.713","JAQMNU010000016","fig|1254.713.peg.302","PN402_09265",,"PATRIC.1254.713.JAQMNU010000016.CDS.72.392.fwd","PATRIC","CDS",72,392,321,"+",,"PLF_1253_00003778","PGF_02754481",,106,,"SLATT domain-containing protein",
"Pediococcus acidilactici 1001287st1_G1_1001287B_170213","1254.722","JAQMNT010000016","fig|1254.722.peg.317","PN303_09315",,"PATRIC.1254.722.JAQMNT010000016.CDS.21938.22258.rev","PATRIC","CDS",21938,22258,321,"-",,"PLF_1253_00003778","PGF_02754481",,106,,"SLATT domain-containing protein",
"Pediococcus acidilactici SRCM217305","1254.758","JAUDET010000002","fig|1254.758.peg.1989","QTN55_09910",,"PATRIC.1254.758.JAUDET010000002.CDS.37929.38228.fwd","PATRIC","CDS",37929,38228,300,"+",,"PLF_1253_00003778","PGF_02754481",,99,,"SLATT domain-containing protein",
"Pediococcus acidilactici BF9","1254.794","JAWJAV010000013","fig|1254.794.peg.2174","R0G89_10775",,"PATRIC.1254.794.JAWJAV010000013.CDS.7495.7794.rev","PATRIC","CDS",7495,7794,300,"-",,"PLF_1253_00003778","PGF_02754481",,99,,"SLATT domain-containing protein",
"Pediococcus acidilactici BYF20","1254.795","JAWJAU010000009","fig|1254.795.peg.1950","RYX42_09575",,"PATRIC.1254.795.JAWJAU010000009.CDS.11951.12250.fwd","PATRIC","CDS",11951,12250,300,"+",,"PLF_1253_00003778","PGF_02754481",,99,,"SLATT domain-containing protein",
"Pediococcus acidilactici BF14","1254.796","JAWJAX010000021","fig|1254.796.peg.1126","R0H03_10555",,"PATRIC.1254.796.JAWJAX010000021.CDS.7522.7821.rev","PATRIC","CDS",7522,7821,300,"-",,"PLF_1253_00003778","PGF_02754481",,99,,"SLATT domain-containing protein",
"Pediococcus acidilactici BYF26","1254.797","JAWJAW010000009","fig|1254.797.peg.1940","R0G91_09490",,"PATRIC.1254.797.JAWJAW010000009.CDS.12256.12555.fwd","PATRIC","CDS",12256,12555,300,"+",,"PLF_1253_00003778","PGF_02754481",,99,,"SLATT domain-containing protein",
"Pediococcus acidilactici IAF5919","1254.818","CP138507","fig|1254.818.peg.1966","SGW15_09755",,"PATRIC.1254.818.CP138507.CDS.11951.12250.fwd","PATRIC","CDS",11951,12250,300,"+",,"PLF_1253_00003778","PGF_02754481",,99,,"SLATT domain-containing protein",
"Pediococcus acidilactici MBBL7","1254.843","JAZIFS010000011","fig|1254.843.peg.1778","V4W88_08595",,"PATRIC.1254.843.JAZIFS010000011.CDS.37562.37861.rev","PATRIC","CDS",37562,37861,300,"-",,"PLF_1253_00003778","PGF_02754481",,99,,"SLATT domain-containing protein",
"Pediococcus acidilactici MBBL5","1254.844","JAZIFQ010000011","fig|1254.844.peg.1746","V4W87_08470",,"PATRIC.1254.844.JAZIFQ010000011.CDS.37562.37861.rev","PATRIC","CDS",37562,37861,300,"-",,"PLF_1253_00003778","PGF_02754481",,99,,"SLATT domain-containing protein",
"Pediococcus acidilactici QCH-42","1254.850","JBANEP010000009","fig|1254.850.peg.2066","V8Z76_09580",,"PATRIC.1254.850.JBANEP010000009.CDS.12440.12739.fwd","PATRIC","CDS",12440,12739,300,"+",,"PLF_1253_00003778","PGF_02754481",,99,,"SLATT domain-containing protein",
"Pediococcus acidilactici YCO-17","1254.851","JBANEQ010000007","fig|1254.851.peg.1995","V8Z75_09780",,"PATRIC.1254.851.JBANEQ010000007.CDS.12440.12739.fwd","PATRIC","CDS",12440,12739,300,"+",,"PLF_1253_00003778","PGF_02754481",,99,,"SLATT domain-containing protein",
"Pediococcus acidilactici YCO-23","1254.857","JBBDHO010000007","fig|1254.857.peg.1991","WDW92_09850",,"PATRIC.1254.857.JBBDHO010000007.CDS.12440.12739.fwd","PATRIC","CDS",12440,12739,300,"+",,"PLF_1253_00003778","PGF_02754481",,99,,"SLATT domain-containing protein",
"Pseudomonas guariconensis strain 20-MO00621-0","1288410.12","JADLJN010000003","fig|1288410.12.peg.496","IRZ58_02415",,"PATRIC.1288410.12.JADLJN010000003.CDS.109899.110369.fwd","PATRIC","CDS",109899,110369,471,"+",,"PLF_286_00291653","PGF_08225224",,156,,"SLATT domain-containing protein",
"Pseudomonas guariconensis strain 20-MO00623-0","1288410.13","JADLJP010000003","fig|1288410.13.peg.597","IRZ60_02925",,"PATRIC.1288410.13.JADLJP010000003.CDS.108237.108707.rev","PATRIC","CDS",108237,108707,471,"-",,"PLF_286_00291653","PGF_08225224",,156,,"SLATT domain-containing protein",
"Paenibacillus dendritiformis strain CRN 18","130049.6","JAAWWZ010000003","fig|130049.6.peg.3172","HFN20_00500",,"PATRIC.130049.6.JAAWWZ010000003.CDS.25335.25721.rev","PATRIC","CDS",25335,25721,387,"-",,,,,,,"SLATT domain-containing protein",
"Paenibacillus dendritiformis strain CRN 20","130049.7","JABRVK010000126","fig|130049.7.peg.1021","HRG14_21810",,"PATRIC.130049.7.JABRVK010000126.CDS.3346.3732.rev","PATRIC","CDS",3346,3732,387,"-",,,,,,,"SLATT domain-containing protein",
"Massilia kyonggiensis JCM 19189","1303090.3","JANUGY010000003","fig|1303090.3.peg.3412","NX783_10180",,"PATRIC.1303090.3.JANUGY010000003.CDS.594799.595395.rev","PATRIC","CDS",594799,595395,597,"-",,,,,198,,"SLATT domain-containing protein",
"Streptococcus sp. strain L2_026_000G1_dasL2_026_000G1_concoct_24","1306.105","JAGZQI010000052","fig|1306.105.peg.1203","KH076_09765",,"PATRIC.1306.105.JAGZQI010000052.CDS.1798.2232.rev","PATRIC","CDS",1798,2232,435,"-",,"PLF_1301_00047367","PGF_03509296",,144,,"SLATT domain-containing protein",
"Streptococcus suis 784_8B","1307.7887","JABLPH010000011","fig|1307.7887.peg.390","HPA21_06825",,"PATRIC.1307.7887.JABLPH010000011.CDS.43621.44130.fwd","PATRIC","CDS",43621,44130,510,"+",,"PLF_1301_00064984","PGF_03517636",,169,,"SLATT domain-containing protein",
"Streptococcus suis 684_21C","1307.7965","JABLNN010000011","fig|1307.7965.peg.309","HO974_06980",,"PATRIC.1307.7965.JABLNN010000011.CDS.43621.44130.fwd","PATRIC","CDS",43621,44130,510,"+",,"PLF_1301_00064984","PGF_03517636",,169,,"SLATT domain-containing protein",
"Streptococcus pneumoniae strain pnumococcus11D","1313.21223","WNHO01000513","fig|1313.21223.peg.2174","GM525_12895",,"PATRIC.1313.21223.WNHO01000513.CDS.14.279.fwd","PATRIC","CDS",14,279,266,"+",,,"PGF_00264419",,88,,"SLATT domain-containing protein",
"Streptococcus parasanguinis 1001262st1_D8_1001262B_160229","1318.1175","JAQMJW010000008","fig|1318.1175.peg.1941","PNU95_08590",,"PATRIC.1318.1175.JAQMJW010000008.CDS.4811.5263.rev","PATRIC","CDS",4811,5263,453,"-",,,,,,,"SLATT domain-containing protein",
"Streptomyces rimosus subsp. rimosus SRI-4018v0","132474.58","CP043497","fig|132474.58.peg.3","FMM49_01470",,"PATRIC.132474.58.CP043497.CDS.1633.2090.fwd","PATRIC","CDS",1633,2090,458,"+",,,,,,,"SLATT domain-containing protein",
"Enterococcus gallinarum strain QAU17","1353.205","JAEANO010000001","fig|1353.205.peg.461","I8F93_01805",,"PATRIC.1353.205.JAEANO010000001.CDS.380714.381271.fwd","PATRIC","CDS",380714,381271,558,"+",,,,,,,"SLATT domain-containing protein",
"Curtobacterium flaccumfaciens pv. flaccumfaciens strain P990","138532.12","CP045287","fig|138532.12.peg.2035","GBG65_08560",,"PATRIC.138532.12.CP045287.CDS.1735271.1735618.fwd","PATRIC","CDS",1735271,1735618,348,"+",,"PLF_2034_00008392","PGF_08225224",,115,,"SLATT domain-containing protein",
"Curtobacterium flaccumfaciens pv. flaccumfaciens strain CFBP 8818","138532.29","JAHEWT010000016","fig|138532.29.peg.551","KK098_09800",,"PATRIC.138532.29.JAHEWT010000016.CDS.6861.7427.rev","PATRIC","CDS",6861,7427,567,"-",,,,,188,,"SLATT domain-containing protein",
"Curtobacterium flaccumfaciens pv. flaccumfaciens strain CFBP 8819","138532.31","JAHEWS010000004","fig|138532.31.peg.2750","KK097_03815",,"PATRIC.138532.31.JAHEWS010000004.CDS.65231.65797.fwd","PATRIC","CDS",65231,65797,567,"+",,,,,188,,"SLATT domain-containing protein",
"Bacillus circulans strain GN03","1397.26","CP053315","fig|1397.26.peg.3485","HLK66_16275",,"PATRIC.1397.26.CP053315.CDS.3305712.3306239.rev","PATRIC","CDS",3305712,3306239,528,"-",,,,,,,"SLATT domain-containing protein",
"Micromonospora sp. S2509","1420891.3","VDFY01000294","fig|1420891.3.peg.924","FHG89_31275",,"PATRIC.1420891.3.VDFY01000294.CDS.7142.7693.rev","PATRIC","CDS",7142,7693,552,"-",,,,,183,,"SLATT domain-containing protein",
"Cohnella rhizosphaerae DSM 28161","1457232.4","JAPDIA010000007","fig|1457232.4.peg.5306","OMP40_18415",,"PATRIC.1457232.4.JAPDIA010000007.CDS.133251.133781.rev","PATRIC","CDS",133251,133781,531,"-",,,,,176,,"SLATT domain-containing protein",
"Klebsiella quasipneumoniae strain OSUCMP263AKPC","1463165.655","CP087580","fig|1463165.655.peg.4052","LO541_19980",,"PATRIC.1463165.655.CP087580.CDS.4101802.4102269.fwd","PATRIC","CDS",4101802,4102269,468,"+",,"PLF_570_00026143","PGF_00075575",,155,,"SLATT domain-containing protein",
"Klebsiella quasipneumoniae OSUCMP263AKPC","1463165.676","CP087580","fig|1463165.676.peg.4052","LO541_19980",,"PATRIC.1463165.676.CP087580.CDS.4101802.4102269.fwd","PATRIC","CDS",4101802,4102269,468,"+",,"PLF_570_00026143","PGF_00075575",,155,,"SLATT domain-containing protein",
"Klebsiella quasipneumoniae G_2857","1463165.992","JARWGM010000225","fig|1463165.992.peg.2699","QDX82_29765",,"PATRIC.1463165.992.JARWGM010000225.CDS.1.313.rev","PATRIC","CDS",1,313,313,"-",,,,,104,,"SLATT domain-containing protein",
"Klebsiella quasipneumoniae G_2857","1463165.992","JARWGM010000251","fig|1463165.992.peg.2836","QDX82_29945",,"PATRIC.1463165.992.JARWGM010000251.CDS.1089.1376.rev","PATRIC","CDS",1089,1376,288,"-",,"PLF_570_00026033","PGF_08225224",,95,,"SLATT domain-containing protein",
"Streptomyces europaeiscabiei ND06-05F","146819.40","JARAWN010000208","fig|146819.40.peg.2613","PV367_27535",,"PATRIC.146819.40.JARAWN010000208.CDS.5564.6130.fwd","PATRIC","CDS",5564,6130,567,"+",,,,,188,,"SLATT domain-containing protein",
